bill_id,bill_name
020038,판사및검사특별임용시험법안
020039,통상우편물의종류및요금에관한법률중개정법률안
020040,비상사태하에범죄처벌에관한특별조치령중개정법률안
020041,양곡증권법안
020042,국회의원보수에관한법률중개정법률안
020043,주세법중개정법률안
020044,교육법중개정법률안
020045,국민방위군설치법안
020046,임시관세징수법안
020047,농지개혁긴급조치법안
020048,행방불명된국회의원에대한특별조치법안
020049,지세에관한임시조치법안
020051,부역행위특별처리법중개정법률안
020052,지방자치법및특별시지정에관한법률안
020054,전기사업법안
020055,지세에관한임시조치법안
020056,국회법중개정법률안
020057,국군조직법중개정법률안
020058,정부조직법중개정법률안
020059,임시군사비특별회계법안
020060,해안경비법중개정법률안
020061,학병급학생사관특별임용에관한임시조치법안
020062,국회의원선거법중개정법률안
020063,반민족행위처벌법등폐지에관한법안
020064,계엄법중개정법률안
020065,정부조직법중개정법률안
020066,관기숙청및이에수반하는임시조치법안
020067,관기숙청에관한특별조치법안
020068,광업법안
020069,국채보조권법안
020070,수산청설치법안
020071,국회법중개정법률안
020072,비상사태하의사정변경규정법안
020073,물품세법중개정법률안
020074,방공법안
020075,귀속농지특별조치법안(대안)
020076,지방자치법중개정법률안
020077,국가배상법안
020078,국가의이해에관계있는소송에관한법률안
020079,세입보전국채발행에관한건
020080,조세특례법안
020081,6·25사변수습비특별회계법안
020082,경찰원호법안
020083,통행세법중개정법률안
020084,농지대가특별회계법안
020085,외자특별회계법개정법률안
020086,한·미경제원조협정에의한대충자금운용특별회계법안
020087,군사우편법안
020088,임시지방분여세법안
020089,조세범처벌법안
020090,산림보호임시조치법안
020091,조세임시증징법중개정법률안
020092,단기4283년도학년말및단기4284년도학년초에관한건
020093,지방자치법중개정법률안
020094,직물세법폐지법률안
020095,어업에관한임시조치법중개정법률안
020096,중앙도매시장법안
020097,주류업조합법안
020098,애국복권발행법안
020099,애국복권특별회계법안
020100,국정등감사법안
020101,지방행정조직법중개정법률안
020102,수산업법안
020104,형법안
020105,검사징계법안
020106,특수농지처리법안
020107,생필물자전시특별조치법안
020108,우편연금의연액에관한법률중개정법률안
020109,국민생명보험의보험금액에관한법률중개정법률안
020110,조세범처벌수속법안
020111,병역법중개정법률안
020112,국회의원선거법중개정법률안
020113,한국은행법중개정법률안
020114,노동조합법안
020115,비상시향토방위령(긴급명령제9호)폐지에關한법률안
020116,국민방위군설치법폐지에관한법률안
020117,국회의원선거법중개정법률안
020118,국회의원선거법중개정법률안(대안)
020119,전시국민생활개선법안
020120,국민의료법안
020121,소년원법안
020122,벌금등임시조치법안
020123,양곡관리법중개정법률안
020124,물자가격등특수관리법안
020125,행정소송법안
020126,국세징수법중개정법률안
020127,지방자치법중개정법률안
020128,특별시지정에관한법률안(대안)
020129,지방교통관서설치법중개정법률안
020130,행정사건소송법안
020131,특별시지정에관한법률안
020132,문교재단소유농지특별보상법안
020133,어업에관한임시조치법중개정법률안
020134,소원법안
020135,노동조합법안
020136,노동쟁의조정법안
020137,노동위원회법안
